id,frase
1,"Se questo fosse un anno normale, potremmo dire che è un anno abbastanza fallimentare."
2,"Abbiamo perso, ma ci siamo difesi bene."
3,Siamo stati super resilienti.
4,Le persone ci cercano.
5,Il nostro brand è posizionato in una maniera talmente chiara che siamo quelli da contattare.
6,Siamo quelli che sulla mappa devono essere contattati per risolvere un certo tipo di problema.
7,"La qualità delle cose che facciamo, dei progetti, dei prodotti che sviluppiamo è fuori scala rispetto a gli ambiti in cui vendiamo."
8,"La qualità che abbiamo prodotto in qualche qualsiasi modo, in un lavoro passato, si riflette nel presente e magari si rifletterà nel futuro."
9,"Siamo piccoli, ma facciamo un campionato molto diverso da quello che ci dovrebbe competere."
10,"Un po' come come accade nello sport, siamo un po' quegli outliers, come l'Atalanta che vince l'Europa League."
11,Ci stiamo abituando con innovazioni tecnologiche a volere tutto subito.
12,Noi siamo sull'orlo di quella che tutti dicono possa essere una bolla legata all'AI.
13,La cosa migliore da fare in questo momento sia rilanciare con ancora più ambizione.
14,"Saranno anni difficili e ci sarà la tempesta, ma noi facciamo le nostre regole e abbiamo la flessibilità e la capacità di navigare."
15,"Questa tempesta non sarà facile, ma pensiamo di avere più possibilità di cavarcela se non fuggiamo da tutti questi problemi che vediamo sul mercato, ma se siamo pronti a reagire."
16,Andiamo a risolvere problemi nuovi prima di altri.
17,Alcuni saranno distratti dal mettere pezze per cercare di non imbarcare acqua e può essere un momento in cui noi andiamo a riempire dei vuoti che ci sono.
18,Noi abbiamo triplicato il fatturato e siamo comunque un granello di sabbia nel mercato.
19,"Anche in un mercato che si restringe, se invece che fare un milionesimo dei progetti che andrebbero bene per noi, noi ne facciamo un 3 milionesimi."
20,"Dopo un anno complesso, immaginando che ci siano altri anni complessi, dobbiamo fare all-in, eh nel senso del poker, buttiamo tutte tutte le nostre fish."
21,"Cerchiamo di uscire dall'altra parte della tempesta, testa sotto l'acqua."
22,Passiamo sotto l'onda e cerchiamo di prenderne un'altra.
23,"Dobbiamo far girare di più il nostro nome in maniera proattiva, dobbiamo farci vedere di più, dobbiamo parlare di più, dobbiamo conoscere più persone per generare più opportunità."
24,La qualità e il livello di strategicità dell'offerta sono le cose che ci possono differenziare.
25,Dobbiamo dobbiamo fare in modo che i progetti ci diano opportunità per alzare sempre di più ogni volta l'asticella.
26,"Quando arriviamo a sederci ai tavoli giusti e a presentare il nostro lavoro, alla fine ce la giochiamo alla pari con soggetti molto più grandi."
27,"Se manteniamo la nostra agilità e la nostra capacità di cambiare, noi possiamo ribaltare tutto in pochissimo tempo."
28,"Se gli altri sono una petroliera che è difficile da. da manovrare, noi siamo una una barca a vela che può evitare le onde."
29,Gli altri puntano a fare in modo che le onde che li colpiscono non li affondino. Noi cerchiamo di evitarle. Per evitarle dobbiamo muoverci.
30,"Se non ci diamo limiti, potremo provare, sbagliare, imparare dagli errori, guardarci in giro, ricalcolare la rotta e provare di nuovo."
31,Dobbiamo fare in modo che comunque il talento sia sempre in qualche modo al centro del progetto.
32,"Noi volendo potremmo decidere che ci mettiamo a impaginare tutti i depliant con i coupon del Lidl, che è una roba che nessuno vuole fare."
33,"Noi siamo la società che fa i progetti matti, difficili. (modificato)"
34,La terza gamba su cui poggia tutto è ovviamente la qualità.
35,"Non dobbiamo neanche diventare un un elefante se siamo un camaleonte, siamo piccolini."
36,Ci sarà da faticare.
37,Vorremo persone ancora più motivate rispetto a quelle che abbiamo avuto in passato.
